                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.86537,                0.76628,                 1.1641,                0.74076,                0.86389,                0.86788,                0.62118,                 1.0909,                0.92178,                 1.3655,              0.0011224,              0.0011224,              0.0011224
                     36,                0.86873,                0.72415,                 1.1807,                0.80025,                0.76111,                 0.8498,                0.59799,                 1.0826,                0.89042,                 1.3274,              0.0011059,              0.0011059,              0.0011059
                     37,                0.88343,                0.75888,                 1.1716,                0.79431,                0.75917,                0.85725,                0.58565,                 1.0981,                 0.8615,                 1.3993,              0.0010894,              0.0010894,              0.0010894
                     38,                0.88565,                 0.7514,                 1.1872,                0.76188,                0.85135,                0.86864,                0.60893,                 1.1632,                0.80962,                 1.4751,              0.0010729,              0.0010729,              0.0010729
                     39,                0.82148,                0.67912,                 1.1542,                0.81999,                0.83595,                0.82932,                0.60022,                 1.0807,                0.87624,                 1.3771,              0.0010564,              0.0010564,              0.0010564
                     40,                0.88783,                0.72521,                 1.1623,                0.80351,                0.79554,                0.86222,                0.62636,                   1.04,                0.88234,                 1.3478,              0.0010399,              0.0010399,              0.0010399
                     41,                0.87082,                0.71943,                 1.1878,                0.75532,                0.86523,                0.86629,                0.62264,                 1.0789,                0.85566,                 1.3387,              0.0010234,              0.0010234,              0.0010234
                     42,                0.84482,                0.73636,                 1.1377,                0.73679,                0.85153,                 0.8649,                0.61189,                  1.119,                0.80754,                 1.3821,              0.0010069,              0.0010069,              0.0010069
                     43,                0.81897,                0.67175,                 1.1429,                0.87615,                0.87704,                0.93615,                0.64704,                 1.0824,                0.71256,                 1.3509,             0.00099036,             0.00099036,             0.00099036
                     44,                 0.8505,                 0.7657,                 1.1665,                0.84453,                0.92222,                 0.9034,                0.61749,                 1.1189,                0.73399,                 1.3613,             0.00097386,             0.00097386,             0.00097386
                     45,                0.85841,                0.71647,                 1.1584,                0.80447,                0.84444,                 0.8941,                0.61024,                 1.0957,                0.71416,                 1.3564,             0.00095736,             0.00095736,             0.00095736
                     46,                0.84133,                0.69164,                 1.1327,                0.85253,                0.89055,                0.91514,                0.65431,                 1.0905,                0.73313,                 1.3727,             0.00094085,             0.00094085,             0.00094085
                     47,                0.82984,                0.71271,                 1.1563,                0.73711,                0.88593,                0.88832,                0.64374,                 1.0508,                0.74671,                 1.3459,             0.00092435,             0.00092435,             0.00092435
                     48,                0.81329,                0.67106,                 1.1551,                0.75796,                   0.85,                0.86035,                0.63191,                 1.0544,                0.93014,                 1.3115,             0.00090785,             0.00090785,             0.00090785
                     49,                0.78067,                0.64447,                  1.102,                0.79247,                0.79167,                0.89933,                0.65086,                 1.0537,                0.75572,                 1.3352,             0.00089134,             0.00089134,             0.00089134
                     50,                0.77628,                 0.6025,                 1.1107,                0.81564,                0.86464,                0.90671,                 0.6661,                 1.0488,                0.74794,                 1.3123,             0.00087484,             0.00087484,             0.00087484
                     51,                0.81634,                0.68847,                 1.1434,                0.86359,                0.78889,                 0.9101,                0.66146,                  1.024,                0.68857,                 1.2992,             0.00085834,             0.00085834,             0.00085834
                     52,                0.74729,                0.62659,                 1.0892,                0.89846,                0.83889,                0.91155,                0.67404,                 1.0163,                0.71625,                 1.3022,             0.00084184,             0.00084184,             0.00084184
                     53,                 0.7756,                 0.6301,                 1.1193,                0.83102,                0.86003,                0.91714,                0.66302,                0.98989,                0.69893,                   1.28,             0.00082533,             0.00082533,             0.00082533
                     54,                0.77367,                 0.6266,                 1.1121,                0.86297,                0.81454,                0.92637,                0.67362,                 0.9895,                0.76934,                 1.2902,             0.00080883,             0.00080883,             0.00080883
                     55,                0.77486,                0.59931,                 1.1188,                0.81726,                0.91667,                0.91957,                0.68804,                0.94472,                0.62475,                 1.2602,             0.00079233,             0.00079233,             0.00079233
                     56,                0.76686,                0.59791,                 1.0988,                 0.8303,                0.92843,                 0.9359,                 0.6699,                0.96676,                0.69556,                 1.2629,             0.00077582,             0.00077582,             0.00077582
                     57,                0.74466,                0.57281,                 1.0814,                0.82449,                0.96496,                0.94248,                0.67734,                  1.004,                0.62602,                 1.2962,             0.00075932,             0.00075932,             0.00075932
                     58,                0.70621,                0.56045,                  1.073,                0.85911,                0.94444,                0.92591,                0.68882,                0.99861,                0.65779,                 1.2924,             0.00074282,             0.00074282,             0.00074282
                     59,                0.73311,                0.56237,                 1.0745,                0.88336,                0.89167,                0.93795,                0.69249,                 1.0032,                0.63269,                 1.2727,             0.00072631,             0.00072631,             0.00072631
                     60,                0.71487,                 0.5594,                 1.0802,                0.89504,                0.89444,                0.94026,                0.70016,                  1.059,                0.62852,                 1.3331,             0.00070981,             0.00070981,             0.00070981
                     61,                0.69435,                0.53408,                 1.0747,                0.87167,                0.96601,                0.95723,                0.72187,                 1.0038,                0.60269,                 1.2798,             0.00069331,             0.00069331,             0.00069331
                     62,                0.70429,                0.52697,                 1.0416,                0.88885,                0.91667,                0.96717,                0.73807,                0.95439,                 0.5706,                 1.2567,              0.0006768,              0.0006768,              0.0006768
                     63,                0.71194,                0.55521,                 1.0797,                0.81776,                0.94164,                0.92401,                0.69208,                  1.027,                0.61199,                 1.3269,              0.0006603,              0.0006603,              0.0006603
